Symbol,Date,Open,High,Low,Close,Volume,8MA,20MA,34MA,50MA,200MA
AMD,04/01/2016,2.77,2.82,2.63,2.77,32516800,,,,,
AMD,05/01/2016,2.77,2.8,2.64,2.75,12972300,,,,,
AMD,06/01/2016,2.66,2.71,2.47,2.51,23759400,,,,,
AMD,07/01/2016,2.43,2.48,2.26,2.28,22203500,,,,,
AMD,08/01/2016,2.36,2.42,2.1,2.14,31822400,,,,,
AMD,11/01/2016,2.16,2.36,2.12,2.34,19629300,,,,,
AMD,12/01/2016,2.4,2.46,2.28,2.39,17986100,,,,,
AMD,13/01/2016,2.4,2.45,2.21,2.25,12749700,2.42875,,,,
AMD,14/01/2016,2.29,2.35,2.21,2.21,15666600,2.35875,,,,
AMD,15/01/2016,2.1,2.13,1.99,2.03,21181600,2.26875,,,,
AMD,19/01/2016,2.08,2.11,1.9,1.95,18978900,2.19875,,,,
AMD,20/01/2016,1.81,1.95,1.75,1.8,29243600,2.13875,,,,
AMD,21/01/2016,1.82,2.18,1.81,2.09,26387900,2.1325,,,,
AMD,22/01/2016,2.11,2.17,1.98,2.02,16245500,2.0925,,,,
AMD,25/01/2016,2.01,2.15,2.01,2.12,13080900,2.05875,,,,
AMD,26/01/2016,2.14,2.15,2.03,2.07,11097400,2.03625,,,,
AMD,27/01/2016,2.08,2.18,2.07,2.13,10833200,2.02625,,,,
AMD,28/01/2016,2.16,2.17,2.07,2.08,7118400,2.0325,,,,
AMD,29/01/2016,2.09,2.2,2.07,2.2,11998100,2.06375,,,,
AMD,01/02/2016,2.17,2.19,2.11,2.14,8816100,2.10625,2.2135,,,
AMD,02/02/2016,2.11,2.14,1.96,1.99,11224100,2.09375,2.1745,,,
AMD,03/02/2016,2.04,2.08,1.95,2.07,9978600,2.1,2.1405,,,
AMD,04/02/2016,2.06,2.17,2.03,2.09,8284800,2.09625,2.1195,,,
AMD,05/02/2016,2.06,2.08,1.98,1.98,7914400,2.085,2.1045,,,
AMD,08/02/2016,1.97,1.98,1.87,1.93,11589000,2.06,2.094,,,
AMD,09/02/2016,1.89,2.0,1.85,1.9,14991500,2.0375,2.072,,,
AMD,10/02/2016,1.92,1.98,1.83,1.84,9466100,1.9925,2.0445,,,
AMD,11/02/2016,1.82,1.94,1.81,1.86,7858300,1.9575,2.025,,,
AMD,12/02/2016,1.89,1.91,1.82,1.83,9957300,1.9375,2.006,,,
AMD,16/02/2016,1.86,1.9,1.82,1.83,11853400,1.9075,1.996,,,
